[2026-04-23 18:16:51.727] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/?loadOrigin=new_tab&tabCount=0)
[2026-04-23 18:16:51.836] [info]  Enabling corruption repair
[2026-04-23 18:16:53.944] [info]  Enabling corruption repair
[2026-04-23 18:16:54.761] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0)
[2026-04-23 18:16:55.523] [info]  Enabling corruption repair
[2026-04-23 18:16:58.285] [info]  Enabling corruption repair
[2026-04-23 18:19:12.758] [info]  Listening to 1 MessagePort(s) for renderer 6 (https://www.notion.so/quick-search)
[2026-04-23 18:19:12.783] [info]  Enabling corruption repair
[2026-04-23 18:19:13.805] [info]  Enabling corruption repair
[2026-04-23 18:19:57.228] [info]  Listening to 1 MessagePort(s) for renderer 4 (https://www.notion.so/login?loadOrigin=service_worker_change)
[2026-04-23 18:19:57.283] [info]  Enabling corruption repair
[2026-04-23 18:19:58.197] [info]  Listening to 1 MessagePort(s) for renderer 3 (https://www.notion.so/blank?tabCount=0&loadOrigin=service_worker_change)
[2026-04-23 18:19:58.948] [info]  Enabling corruption repair
[2026-04-23 18:19:58.955] [info]  Enabling corruption repair
[2026-04-23 18:19:59.045] [info]  Listening to 1 MessagePort(s) for renderer 6 (https://www.notion.so/quick-search?loadOrigin=service_worker_change)
[2026-04-23 18:19:59.114] [info]  Enabling corruption repair
[2026-04-23 18:20:00.204] [info]  Enabling corruption repair
[2026-04-23 18:20:01.302] [info]  Enabling corruption repair
